-75,2,-6
-53,-4,0
-62,-4,5
-62,-3,2
-57,-3,4
-66,-1,2
-66,-1,1
-62,1,0
-67,-2,-6
-62,-1,-7
-62,-4,-10
-64,-3,-13
-63,-4,-13
-62,-3,-19
-64,-5,-19
-62,-2,-16
-58,-2,-13
-59,-2,-11
-61,-2,-11
-63,-4,-13
-62,-2,-21
-60,-2,-23
-60,-1,-23
-60,-1,-26
-60,-5,-29
-59,-4,-28
-56,-3,-27
-58,-4,-27
-59,-1,-26
-61,-3,-27
-57,-5,-27
-54,-5,-23
-63,-6,-26
-58,-8,-31
-55,-5,-31
-56,-2,-28
-57,-2,-29
-56,-3,-31
-57,-3,-32
-56,-5,-34
-56,-5,-35
-56,-3,-30
-56,-2,-29
-58,-4,-30
-54,-4,-28
-57,-5,-30
-60,-4,-29
-57,-3,-24
-57,-3,-22
-59,-3,-19
-62,-2,-19
-58,-1,-21
-60,-2,-25
-56,-3,-31
-55,0,-26
-66,-4,-32
-57,-6,-35
-51,-6,-35
-56,-2,-32
-60,0,-28
-60,-1,-28
-59,-4,-31
-54,-4,-33
-49,-3,-31
-59,-4,-30
-57,-4,-30
-56,-4,-34
-56,-4,-33
-61,0,-25
-70,-4,-27
-56,-3,-24
-51,-2,-21
-56,2,-16
-61,2,-13
-59,1,-10
-63,3,-12
-66,1,-13
-61,3,-12
-56,2,-15
-59,-1,-18
-64,-1,-22
-63,0,-21
-61,2,-22
-63,0,-23
-62,0,-21
-61,2,-16
-63,3,-16
-62,3,-16
-61,3,-15
-61,3,-14
-63,3,-15
-63,2,-16
-64,2,-16
-61,2,-15
-60,2,-15
-62,3,-16
-62,2,-16
-61,2,-15
-61,1,-15
-63,2,-16
-62,1,-16
-62,3,-15
-64,1,-15
-64,1,-14
-64,1,-13
-63,1,-13
-63,2,-12
-64,2,-11
-64,2,-9
-64,2,-8
-65,2,-7
-65,3,-4
-63,4,-2
-63,4,-1
-63,4,5
-61,4,6
-67,4,7
-66,3,7
-62,4,6
-61,4,5
-63,3,5
